# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_C.F90 (Apache-2.0).
z_hi,z_lo,alpb,xfac
1,1,4.051163,2.845627
2,1,2.989881,2.371199
2,2,3.783559,3.4509
3,1,1.265105,0.488118
3,2,2.982569,8.316732
3,3,3.213216,16.832394
4,1,2.854611,3.447327
4,2,3.367214,12.563185
4,3,2.432991,11.306301
4,4,2.042783,1.680607
5,1,2.314226,1.135897
5,2,3.16314,1.97417
5,3,3.000118,5.54942
5,4,1.99182,1.213171
5,5,2.181999,0.964011
6,1,1.038716,0.204582
6,2,3.042705,3.213971
6,3,3.061752,7.351225
6,4,2.798358,2.803943
6,5,2.650092,1.456708
6,6,2.655746,0.937818
7,1,1.049958,0.173966
7,2,2.814339,1.077861
7,3,2.205062,1.070477
7,4,2.391056,1.588438
7,5,2.264882,0.794623
7,6,2.734636,0.959163
7,7,2.786676,0.86343
8,1,1.50803,0.160602
8,2,3.595772,6.688705
8,3,2.090902,0.499065
8,4,3.081366,2.735812
8,5,2.694696,1.106827
8,6,2.850931,0.826848
8,7,2.841313,0.69919
8,8,2.457135,0.356439
9,1,3.104012,0.587775
9,2,2.856543,0.745107
9,3,3.036354,0.756703
9,4,3.328175,2.273878
9,5,2.841215,0.892467
9,6,3.230134,0.946026
9,7,3.207271,0.894011
9,8,3.140885,0.698033
9,9,4.49294,3.111004
10,1,5.99968,5.535021
10,2,3.677758,1.960924
10,3,2.242969,0.642933
10,4,0.83253,0.140208
10,5,2.75619,2.76414
10,6,3.441188,5.46878
10,7,4.42637,29.999609
10,8,2.90684,0.753518
10,9,3.675611,2.706754
10,10,5.18044,0.5
11,1,1.619287,1.966963
11,2,2.17184,4.590369
11,3,0.898897,0.655446
11,4,1.25548,3.12162
11,5,2.476698,8.164739
11,6,2.394648,6.318544
11,7,2.482865,5.755473
11,8,2.699675,8.556302
11,9,3.036873,9.250233
11,10,1.469568,0.697745
11,11,1.994455,9.335783
12,1,2.423259,6.170068
12,2,2.289485,3.779366
12,3,1.374791,2.510632
12,4,1.593445,2.960809
12,5,2.466919,6.072802
12,6,2.321772,3.390341
12,7,2.025732,2.115961
12,8,2.730174,2.888295
12,9,3.378507,5.439497
12,10,0.922342,0.452636
12,11,1.682212,8.429332
12,12,2.055257,20.557591
13,1,1.610842,1.183718
13,2,2.25583,2.7014
13,3,1.248327,0.929842
13,4,1.916502,4.229824
13,5,1.990198,2.676137
13,6,2.058949,3.161882
13,7,1.477524,0.883919
13,8,2.054038,1.619036
13,9,2.253927,1.368035
13,10,2.528574,1.702157
13,11,1.141388,1.128163
13,12,1.455074,1.82118
13,13,1.224852,1.669052
14,1,1.542308,0.688945
14,2,2.028628,1.976149
14,3,1.911808,2.989391
14,4,2.162457,4.322374
14,5,1.915795,1.162577
14,6,1.673306,0.501779
14,7,1.854197,0.671576
14,8,1.824047,0.502254
14,9,2.160762,0.564372
14,10,2.655346,12.754805
14,11,1.842304,9.125996
14,12,1.15799,0.527802
14,13,1.300963,1.290056
14,14,1.109923,0.369696
15,1,1.694074,1.829199
15,2,2.076667,1.493985
15,3,1.727121,5.864987
15,4,1.872176,2.310001
15,5,1.742693,2.541187
15,6,1.77026,1.381969
15,7,1.95858,1.312039
