# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_Sparkles_C.F90 (Apache-2.0).
z,alpha,g_ss,g1_1,g2_1,g3_1,g1_2,g2_2,g3_2
57,2.72878366,51.00521418,0.27941646,13.44993801,3.03636844,0.22388397,13.33085266,3.44240129
58,3.67207094,56.61996758,0.23721649,9.05598877,3.05700455,2.1696003,8.57474567,2.97137088
59,4.56658977,56.1241182,0.27951368,14.17545394,2.96980969,2.01816742,5.58007643,3.13582779
60,4.70304554,51.86812242,0.37179588,11.01756863,2.94211575,2.01934079,11.90273308,3.31388588
61,2.62831297,56.60105705,0.25254367,11.32762969,2.91051149,0.4209608,9.59944282,3.51758897
62,2.48035044,56.91979708,0.27745438,11.39510076,2.89944391,0.38744285,9.47981871,3.73339418
63,2.64501092,57.16819322,0.25290496,12.4281509,2.88466231,0.56909102,9.75538134,3.00378806
64,4.11940733,55.80448082,0.33731573,9.55199105,2.90273188,2.93935956,8.93461822,3.32168472
65,2.71687807,57.37215107,0.30634054,10.8812513,2.85828879,0.66155895,9.13341532,3.41583594
66,2.82756925,55.61069514,0.35812416,8.98941131,2.86815735,0.40611392,8.95555466,3.6973326
67,2.44068845,56.68096021,0.27966404,11.42737486,2.83804623,2.52779706,9.75311832,3.4159948
68,3.79457816,58.52071878,0.35009817,9.49506162,2.8183764,0.78014002,8.47946317,3.59076847
69,1.95626166,55.97220279,0.36171208,10.49976955,2.81614888,0.6340732,8.17764346,3.52086186
70,3.82324875,56.8376004,0.40711494,9.29829027,2.82195825,0.5234107,10.33065656,3.7305995
71,5.33103337,55.14010416,0.34482438,10.07236769,2.8038786,1.30538617,7.21222726,2.96294393
