# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_TS_C.F90 (Apache-2.0).
z,n,ios,iop,iod,core_charge,eheat_kcal,u_ss,u_pp,u_dd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,g_ss,g_sp,g_pp,g_p2,h_sp,zsn,zpn,zdn,f0sd,g2sd,alpha,poc,polvol,g1_1,g1_2,g1_3,g1_4,g2_1,g2_2,g2_3,g2_4,g3_1,g3_2,g3_3,g3_4
1,1,1,0,0,1,52.102,-11.261775,0,0,1.21629,0,0,-8.15297,0,0,14.297348,0,0,0,0,0,0,0,0,0,0,0,0.262114,0.313713,0,0,0,1.344998,0,0,0,0.944327,0,0,0
2,1,2,0,0,2,0,-31.770969,-5.856382,0,3.313204,3.657133,0,-58.903774,-37.039974,0,9.445299,11.201419,9.214548,13.046115,0.299954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,0,0,1,38.41,-4.804124,-2.450842,0,0.804974,6.02753,0,-2.08231,-27.085547,0,9.175811,16.614419,14.193195,11.289123,3.533317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,0,0,2,76.96,-17.427477,-14.84391,0,1.036199,1.764629,0,-3.965129,-8.623194,0,9.590009,9.878338,8.195145,10.136549,0.966381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,1,0,3,135.7,-26.61399,-23.468278,0,1.560481,1.449712,0,-7.509528,-3.775165,0,6.418667,10.191243,5.675076,6.689156,0.942923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2,2,0,4,170.89,-50.960019,-40.43513,0,1.59555,1.758854,0,-14.717624,-7.349032,0,12.596831,12.098962,9.682694,9.30298,0,0,0,0,0,0,0,0,0.485071,0.038893,0,0,0,8.42214,0,0,0,1.609247,0,0,0
7,2,2,3,0,5,113,-61.478292,-49.37227,0,2.748036,2.22122,0,-21.619844,-16.781578,0,10.191875,10.11367,11.599644,9.465723,3.302388,0,0,0,0,0,0,0,0.204743,0.055353,0,0,0,8.986627,0,0,0,1.704364,0,0,0
8,2,2,4,0,6,59.559,-95.875282,-71.249369,0,5.451637,2.961501,0,-67.540697,-19.352174,0,12.060136,15.854464,14.431363,10.604669,5.901024,0,0,0,0,0,0,0,0.154301,-0.40095,0,0,0,1.354623,0,0,0,0.709774,0,0,0
9,2,2,5,0,7,18.89,-137.257117,-98.208856,0,5.784543,2.965266,0,-70.000231,-29.886198,0,15.546585,18.508384,10.63657,11.861586,2.207295,0,0,0,0,0,0,0,0.199611,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,6,0,6,0,-2.978729,-85.441118,0,6.000148,3.834528,0,-69.793475,-33.261962,0,19.999574,16.896951,8.96356,16.027799,1.77928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,1,0,0,1,25.65,-5.815476,-3.731003,0,1.666701,1.397571,0,8.48338,-5.73568,0,20.011368,20.020053,12.820792,19.015416,5.020547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,2,0,0,2,35,-14.858681,-12.451227,0,1.170297,1.840439,0,-12.57697,-0.702739,0,7.480635,9.602125,8.869755,6.241718,0.992746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,2,1,0,3,79.49,-32.518856,-24.873064,-31.418925,1.232599,1.219336,1.617502,6.109627,-2.986557,-28.937998,10.347944,9.180517,7.181623,5.626787,0.920418,2.346908,1.52905,3.682742,0,0,5.341685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,2,2,0,4,108.39,-41.586357,-36.694055,-16.775635,1.433994,1.671776,1.221915,-10.755885,-3.922152,-4.736877,8.159128,11.213512,8.521933,8.493112,0.959479,2.00257,0.818377,2.591238,0,0,0,0,1.88611,0,0,0,0,0,0,0,0,0,0,0,0
15,3,2,3,0,5,75.57,-66.851313,-30.45273,-9.386661,3.095543,1.28753,0.6727,-45.727463,-12.43742,-34.16351,4.108409,7.83287,6.08071,4.180298,1.73468,4.812508,1.095716,12.117992,0,0,0,0,2.31461,0,0,0,0,0,0,0,0,0,0,0,0
16,3,2,4,0,6,66.4,-51.157757,-40.352643,-48.529935,2.046153,1.807678,3.510309,-11.42255,-7.191896,-10.695329,8.728478,6.483871,7.357401,6.875448,3.012199,1.131343,0.823803,2.296065,0,0,0,0,1.45331,0,0,0,0,0,0,0,0,0,0,0,0
17,3,2,5,0,7,28.99,-68.736411,-57.994735,-49.225659,2.324992,2.432096,2.645212,-2.876904,-14.469119,1.958261,9.804995,7.172184,7.864837,9.017278,5.858548,2.353207,2.099376,5.52367,0,0,0,0,1.23621,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,6,0,6,0,-7.797931,-83.211487,0,6.000272,5.94917,0,-8.839842,-28.427303,0,17.858776,4.168451,11.8525,15.669543,4.574549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,1,0,0,1,21.42,-4.888065,-3.763457,0,5.422018,1.471023,0,10.013029,-2.882668,0,19.497974,4.674636,4.339481,5.981455,1.092988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,2,0,0,2,42.6,-13.503503,-10.559344,0,1.477988,2.220194,0,-11.696053,4.96821,0,7.9142,6.712903,4.99791,4.995881,1.170905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,2,0,1,3,90.3,-19.383239,-15.936628,-20.36559,1.794897,2.174934,5.99286,-16.12775,-4.714646,-8.631714,7.183554,6.188166,6.079855,5.329586,1.340355,1.314009,1.020629,1.437857,8.096837,3.531412,0.991198,1.07088,0,0,0,0,0,0,0,0,0,0,0,0,0
