case	atoms	charge	multiplicity	mopac_hof_kcal	pm7rs_hof_kcal	d_hof_kcal	mopac_homo_ev	pm7rs_homo_ev	d_homo_ev	mopac_lumo_ev	pm7rs_lumo_ev	d_lumo_ev	mopac_dipole_debye	pm7rs_dipole_debye	d_dipole_debye	worst_charge_e	mopac_s2	pm7rs_s2	d_s2
water	3	0	1	-57.782280	-57.782281	-0.000001	-12.0820	-12.0816	0.0004	4.0250	4.0254	0.0004	2.1440	2.1439	-0.0001	0.00000048			
ammonia	4	0	1	-3.727710	-3.727714	-0.000004	-10.4360	-10.4363	-0.0003	4.5490	4.5486	-0.0004	2.4090	2.4089	-0.0001	0.00000040			
formaldehyde	4	0	1	-25.417430	-25.417433	-0.000003	-10.3700	-10.3705	-0.0005	0.3780	0.3783	0.0003	2.6800	2.6800	0.0000	0.00000065			
methane	5	0	1	-14.373190	-14.373191	-0.000001	-13.6960	-13.6962	-0.0002	5.8930	5.8929	-0.0001	0.0000	0.0000	0.0000	0.00000011			
hydrogen	2	0	1	-31.748410	-31.748415	-0.000005	-15.1870	-15.1868	0.0002	7.1960	7.1962	0.0002	0.0000	0.0000	0.0000	0.00000000			
nitrogen	2	0	1	33.725530	33.725533	0.000003	-13.5510	-13.5515	-0.0005	0.0330	0.0335	0.0005	0.0000	0.0000	0.0000	0.00000000			
carbon_monoxide	2	0	1	-18.204270	-18.204275	-0.000005	-12.2980	-12.2981	-0.0001	1.6400	1.6398	-0.0002	0.6940	0.6942	0.0002	0.00000050			
hydrogen_fluoride	2	0	1	-61.570370	-61.570372	-0.000002	-15.7400	-15.7405	-0.0005	4.4860	4.4861	0.0001	1.4920	1.4922	0.0002	0.00000002			
carbon_dioxide	3	0	1	-84.346430	-84.346429	0.000001	-12.8060	-12.8060	0.0000	0.5990	0.5989	-0.0001	0.0000	0.0000	0.0000	0.00000006			
hydrogen_cyanide	3	0	1	30.119230	30.119231	0.000001	-13.7900	-13.7905	-0.0005	0.9050	0.9048	-0.0002	2.8390	2.8390	-0.0000	0.00000056			
acetylene	4	0	1	57.810710	57.810711	0.000001	-11.6270	-11.6265	0.0005	1.6050	1.6049	-0.0001	0.0000	0.0000	0.0000	0.00000045			
ethene	6	0	1	14.461660	14.461662	0.000002	-10.7040	-10.7039	0.0001	0.9560	0.9561	0.0001	0.0000	0.0000	0.0000	0.00000001			
ethane	8	0	1	-16.349770	-16.349767	0.000003	-12.0290	-12.0287	0.0003	4.3600	4.3597	-0.0003	0.0000	0.0000	0.0000	0.00000064			
methanol	6	0	1	-47.541440	-47.541442	-0.000002	-10.7250	-10.7253	-0.0003	2.8410	2.8408	-0.0002	2.0730	2.0730	-0.0000	0.00000095			
methylamine	7	0	1	9.337790	9.337789	-0.000001	-8.5450	-8.5455	-0.0005	3.4780	3.4779	-0.0001	0.4220	0.4221	0.0001	0.00000049			
hydrogen_peroxide	4	0	1	-24.143870	-24.143865	0.000005	-11.2890	-11.2892	-0.0002	0.3060	0.3060	0.0000	1.9270	1.9273	0.0003	0.00000028			
hydrazine	6	0	1	45.139870	45.139873	0.000003	-8.8280	-8.8283	-0.0003	2.6520	2.6524	0.0004	0.0000	0.0000	0.0000	0.00000034			
nitrous_oxide	3	0	1	28.054160	28.054163	0.000003	-11.9220	-11.9216	0.0004	0.0170	0.0165	-0.0005	0.4410	0.4406	-0.0004	0.00000018			
ozone	3	0	1	45.880570	45.880575	0.000005	-12.0320	-12.0317	0.0003	-2.3830	-2.3829	0.0001	2.5780	2.5782	0.0002	0.00000036			
allene	7	0	1	39.714690	39.714691	0.000001	-10.4050	-10.4047	0.0003	0.9210	0.9207	-0.0003	0.0000	0.0000	0.0000	0.00000107			
hydrogen_sulfide	3	0	1	-2.608800	-2.608796	0.000004	-9.3610	-9.3614	-0.0004	-0.8110	-0.8115	-0.0005	1.8200	1.8197	-0.0003	0.00000048			
sulfur_dioxide	3	0	1	-64.116480	-64.116475	0.000005	-10.2790	-10.2792	-0.0002	-0.7870	-0.7871	-0.0001	3.2920	3.2921	0.0001	0.00000002			
phosphorus_trifluoride	4	0	1	-136.601810	-136.601814	-0.000004	-9.1310	-9.1312	-0.0002	0.8250	0.8246	-0.0004	0.7950	0.7947	-0.0003	0.00000032			
silane	5	0	1	13.484830	13.484826	-0.000004	-12.4740	-12.4745	-0.0005	2.4880	2.4876	-0.0004	0.0000	0.0000	0.0000	0.00000030			
phosphine	4	0	1	5.891750	5.891751	0.000001	-11.8510	-11.8506	0.0004	0.9700	0.9701	0.0001	2.2410	2.2407	-0.0003	0.00000002			
borane	4	0	1	23.950980	23.950983	0.000003	-12.0110	-12.0111	-0.0001	-0.3450	-0.3446	0.0004	0.0000	0.0000	0.0000	0.00000038			
boron_trifluoride	4	0	1	-271.271330	-271.271330	0.000000	-14.8610	-14.8611	-0.0001	-0.7250	-0.7252	-0.0002	0.0000	0.0000	0.0000	0.00000034			
aluminium_trichloride	4	0	1	-137.650820	-137.650814	0.000006	-11.1030	-11.1032	-0.0002	-1.1550	-1.1545	0.0005	0.0000	0.0000	0.0000	0.00000037			
silicon_tetrafluoride	5	0	1	-365.079180	-365.079183	-0.000003	-15.7070	-15.7072	-0.0002	-0.7000	-0.6997	0.0003	0.0000	0.0000	0.0000	0.00000031			
carbon_tetrachloride	5	0	1	-21.085030	-21.085030	0.000000	-12.0240	-12.0240	-0.0000	-1.5560	-1.5562	-0.0002	0.0000	0.0000	0.0000	0.00000021			
sulfur_hexafluoride	7	0	1	-291.317820	-291.317814	0.000006	-15.7080	-15.7084	-0.0004	-1.1060	-1.1057	0.0003	0.0000	0.0000	0.0000	0.00000078			
carbon_disulfide	3	0	1	40.382680	40.382677	-0.000003	-9.1280	-9.1284	-0.0004	-1.7390	-1.7395	-0.0005	0.0000	0.0000	0.0000	0.00000129			
